dataset,apk,scan_id,runtime_seconds,export_time_seconds,cpu_percent,ram_mb,apk_size_bytes,export_bytes_total,concurrency,throughput_apks_per_minute,report_success,pdf_success,json_success,sarif_success
DroidBench,ActivityCommunication7.apk,a221f61d-4385-4b04-9725-69d45319bfc4,6.553,2.303,65.28,270.85,280285,77515,1,6.705631466708791,true,true,true,true
DroidBench,ActivityCommunication8.apk,e20dad15-237e-4971-b3fb-8b1d27183ead,6.648,2.322,45.00,270.25,280812,82399,1,6.705631466708791,true,true,true,true
DroidBench,BroadcastTaintAndLeak1.apk,447dd97e-868d-4b13-b5a2-1a61590e4c86,2.282,2.291,150.59,336.22,16790,76815,1,6.705631466708791,true,true,true,true
DroidBench,ComponentNotInManifest1.apk,f20cdfcd-854b-41c8-8bcb-ff7afd10e3f1,6.411,2.415,41.15,275.85,280342,77103,1,6.705631466708791,true,true,true,true
DroidBench,EventOrdering1.apk,a52a2e76-0e27-41ca-bf9b-ba9eb5e9b718,6.777,2.304,74.73,276.33,280694,82404,1,6.705631466708791,true,true,true,true
DroidBench,IntentSink1.apk,9901d14b-bb14-439c-ae2f-29f7b2bc7409,4.706,2.319,59.20,288.88,179061,71652,1,6.705631466708791,true,true,true,true
DroidBench,IntentSink2.apk,7da4c5a7-024d-4664-9703-7c4edc18373a,4.768,2.299,173.46,339.25,179029,77518,1,6.705631466708791,true,true,true,true
DroidBench,IntentSource1.apk,4b7eea21-7dc3-4b5d-afec-456391a01806,6.649,2.31,84.18,303.68,280031,77140,1,6.705631466708791,true,true,true,true
DroidBench,ServiceCommunication1.apk,db64180d-57fd-4889-8d09-530c9d36d93a,2.131,2.273,130.97,268.27,8057,77107,1,6.705631466708791,true,true,true,true
DroidBench,SharedPreferences1.apk,20ec3269-d4df-4189-846e-c28242f21d0b,3.646,2.272,53.93,303.76,36962,78486,1,6.705631466708791,true,true,true,true
DroidBench,Singletons1.apk,d73f8e2d-9d30-4d2c-9933-9ca4e6aaf25d,1.043,2.168,,,37130,78194,1,6.705631466708791,true,true,true,true
DroidBench,UnresolvableIntent1.apk,2c01e2e1-94f5-412f-945f-559662d406c4,3.391,2.182,59.03,268.67,280558,82713,1,6.705631466708791,true,true,true,true
DroidBench,ActivityLifecycle1.apk,89df116d-d1af-4044-807c-47aa8ec7b098,2.272,2.168,23.70,270.42,179109,78826,1,6.705631466708791,true,true,true,true
DroidBench,ActivityLifecycle2.apk,69c028a8-cacf-4816-9978-2f0a15132ece,2.246,2.147,27.19,271.28,178755,76923,1,6.705631466708791,true,true,true,true
DroidBench,ActivityLifecycle3.apk,cd7be46f-d11a-4fa8-a0e4-61881ceab54a,2.277,2.17,93.88,271.56,178612,76817,1,6.705631466708791,true,true,true,true
DroidBench,ActivityLifecycle4.apk,fc73c49d-c3eb-4dd9-a958-c264684ad579,2.234,2.156,117.46,272.94,178618,77107,1,6.705631466708791,true,true,true,true
DroidBench,ActivitySavedState1.apk,3a86f7e1-231d-4a0b-b42c-0169ea26af2d,0.967,2.142,,,36662,76817,1,6.705631466708791,true,true,true,true
DroidBench,ApplicationLifecycle1.apk,f69d97fe-1e7c-411e-9aa9-169ea478c771,2.285,2.159,26.13,273.95,180014,76817,1,6.705631466708791,true,true,true,true
DroidBench,ApplicationLifecycle2.apk,8790d2fb-33e7-495c-a420-1dab90cc3f0d,2.283,2.174,20.77,274.43,180093,78507,1,6.705631466708791,true,true,true,true
DroidBench,ApplicationLifecycle3.apk,fdef793f-8e6e-491a-ba7d-39df9120137d,2.376,2.153,146.47,356.03,196563,78213,1,6.705631466708791,true,true,true,true
DroidBench,AsynchronousEventOrdering1.apk,4ab217e0-28c9-425c-9164-58e0acb99486,0.975,2.142,,,36720,77105,1,6.705631466708791,true,true,true,true
DroidBench,BroadcastReceiverLifecycle1.apk,b1d031a6-9c52-4ee1-81be-84a1c3febeed,2.294,2.175,39.70,276.16,176923,76928,1,6.705631466708791,true,true,true,true
DroidBench,BroadcastReceiverLifecycle2.apk,fe913357-c831-4659-8cfd-e18a5b3d9d37,3.138,2.159,131.24,276.97,280261,77421,1,6.705631466708791,true,true,true,true
DroidBench,EventOrdering1.apk,e4df92a8-828f-47fd-8165-18ff9e6aa9ca,0.950,2.142,,,36629,77516,1,6.705631466708791,true,true,true,true
DroidBench,FragmentLifecycle1.apk,cc08e3ad-b4cd-4ae6-bd72-202c1c5e9ae2,2.991,2.159,36.94,278.29,256594,76812,1,6.705631466708791,true,true,true,true
